FID,Prov_ID,Province,Dist_ID,District,Sect_ID,Sector,nightlight_sum,landscan_pop,mpi_headcount,mpi_intensity,mpi,,,,,,,,,,,,,,
0,1,Kigali City,11,Nyarugenge,1101,Gitega,101.2972021,30758,0.064,0.412,0.027,,,,,,,,,,,,,,
1,1,Kigali City,11,Nyarugenge,1102,Kanyinya,85.06042166,19802,0.282,0.445,0.126,,,,,,,,,,,,,,
2,1,Kigali City,11,Nyarugenge,1103,Kigali,133.9911419,26452,0.212,0.434,0.092,,,,,,,,,,,,,,
3,1,Kigali City,11,Nyarugenge,1104,Kimisagara,161.9330151,62266,0.081,0.409,0.033,,,,,,,,,,,,,,
4,1,Kigali City,11,Nyarugenge,1105,Mageregere,49.41569883,23144,0.369,0.43,0.159,,,,,,,,,,,,,,
5,1,Kigali City,11,Nyarugenge,1106,Muhima,239.7680655,21600,0.05,0.405,0.02,,,,,,,,,,,,,,
6,1,Kigali City,11,Nyarugenge,1107,Nyakabanda,67.02965403,14537,0.062,0.393,0.024,,,,,,,,,,,,,,
7,1,Kigali City,11,Nyarugenge,1108,Nyamirambo,127.8888916,22412,0.087,0.404,0.035,,,,,,,,,,,,,,
8,1,Kigali City,11,Nyarugenge,1109,Nyarugenge,597.6292257,59108,0.065,0.408,0.026,,,,,,,,,,,,,,
9,1,Kigali City,11,Nyarugenge,1110,Rwezamenyo,64.91192341,16248,0.051,0.381,0.019,,,,,,,,,,,,,,
10,1,Kigali City,12,Gasabo,1201,Bumbogo,189.6742922,53888,0.322,0.443,0.143,,,,,,,,,,,,,,
11,1,Kigali City,12,Gasabo,1202,Gatsata,91.99005723,23869,0.09,0.421,0.038,,,,,,,,,,,,,,
12,1,Kigali City,12,Gasabo,1203,Gikomero,10.13251582,19734,0.456,0.45,0.205,,,,,,,,,,,,,,
13,1,Kigali City,12,Gasabo,1204,Gisozi,259.9607556,71428,0.093,0.42,0.039,,,,,,,,,,,,,,
14,1,Kigali City,12,Gasabo,1205,Jabana,143.2956682,39870,0.251,0.434,0.109,,,,,,,,,,,,,,
15,1,Kigali City,12,Gasabo,1206,Jali,71.94340744,32172,0.316,0.443,0.14,,,,,,,,,,,,,,
16,1,Kigali City,12,Gasabo,1207,Kacyiru,404.1211033,57336,0.063,0.397,0.025,,,,,,,,,,,,,,
17,1,Kigali City,12,Gasabo,1208,Kimihurura,427.9236264,32842,0.057,0.41,0.024,,,,,,,,,,,,,,
18,1,Kigali City,12,Gasabo,1209,Kimironko,494.1598464,59580,0.055,0.398,0.022,,,,,,,,,,,,,,
19,1,Kigali City,12,Gasabo,1210,Kinyinya,441.9629649,61329,0.137,0.427,0.059,,,,,,,,,,,,,,
20,1,Kigali City,12,Gasabo,1211,Ndera,346.3040128,67634,0.26,0.437,0.114,,,,,,,,,,,,,,
21,1,Kigali City,12,Gasabo,1212,Nduba,65.86116717,20813,0.371,0.436,0.162,,,,,,,,,,,,,,
22,1,Kigali City,12,Gasabo,1213,Remera,471.7443414,43774,0.073,0.398,0.029,,,,,,,,,,,,,,
23,1,Kigali City,12,Gasabo,1214,Rusororo,166.8856967,44518,0.245,0.449,0.11,,,,,,,,,,,,,,
24,1,Kigali City,12,Gasabo,1215,Rutunga,10.64146451,24012,0.401,0.428,0.172,,,,,,,,,,,,,,
25,1,Kigali City,13,Kicukiro,1301,Gahanga,111.5255083,32499,0.306,0.439,0.134,,,,,,,,,,,,,,
26,1,Kigali City,13,Kicukiro,1302,Gatenga,231.0855536,34031,0.108,0.426,0.046,,,,,,,,,,,,,,
27,1,Kigali City,13,Kicukiro,1303,Gikondo,204.8089995,27806,0.073,0.415,0.03,,,,,,,,,,,,,,
28,1,Kigali City,13,Kicukiro,1304,Kagarama,125.6725735,9701,0.086,0.414,0.036,,,,,,,,,,,,,,
29,1,Kigali City,13,Kicukiro,1305,Kanombe,247.7571632,21644,0.092,0.411,0.038,,,,,,,,,,,,,,
30,1,Kigali City,13,Kicukiro,1306,Kicukiro,85.77426052,33949,0.047,0.383,0.018,,,,,,,,,,,,,,
31,1,Kigali City,13,Kicukiro,1307,Kigarama,196.307768,26405,0.09,0.41,0.037,,,,,,,,,,,,,,
32,1,Kigali City,13,Kicukiro,1308,Masaka,141.3373644,38501,0.198,0.431,0.085,,,,,,,,,,,,,,
33,1,Kigali City,13,Kicukiro,1309,Niboye,244.5211816,28905,0.049,0.39,0.019,,,,,,,,,,,,,,
34,1,Kigali City,13,Kicukiro,1310,Nyarugunga,571.9978142,57235,0.066,0.39,0.026,,,,,,,,,,,,,,
35,2,Southern Province,21,Nyanza,2101,Busasamana,152.6203781,41580,0.271,0.426,0.116,,,,,,,,,,,,,,
36,2,Southern Province,21,Nyanza,2102,Busoro,5.494037701,38726,0.487,0.45,0.219,,,,,,,,,,,,,,
37,2,Southern Province,21,Nyanza,2103,Cyabakamyi,2.273052031,25191,0.399,0.435,0.174,,,,,,,,,,,,,,
38,2,Southern Province,21,Nyanza,2104,Kibilizi,3.166298064,37348,0.432,0.456,0.197,,,,,,,,,,,,,,
39,2,Southern Province,21,Nyanza,2105,Kigoma,19.17474828,39089,0.437,0.437,0.191,,,,,,,,,,,,,,
40,2,Southern Province,21,Nyanza,2106,Mukingo,17.94569773,57489,0.325,0.425,0.138,,,,,,,,,,,,,,
41,2,Southern Province,21,Nyanza,2107,Muyira,11.08927922,39551,0.466,0.449,0.209,,,,,,,,,,,,,,
42,2,Southern Province,21,Nyanza,2108,Ntyazo,4.130492932,32045,0.546,0.456,0.249,,,,,,,,,,,,,,
43,2,Southern Province,21,Nyanza,2109,Nyagisozi,2.097295319,30059,0.411,0.449,0.185,,,,,,,,,,,,,,
44,2,Southern Province,21,Nyanza,2110,Rwabicuma,3.889489904,19330,0.396,0.435,0.172,,,,,,,,,,,,,,
45,2,Southern Province,22,Gisagara,2201,Gikonko,3.683096269,25773,0.503,0.46,0.232,,,,,,,,,,,,,,
46,2,Southern Province,22,Gisagara,2202,Gishubi,3.057034043,27426,0.616,0.473,0.291,,,,,,,,,,,,,,
47,2,Southern Province,22,Gisagara,2203,Kansi,2.247134627,19385,0.44,0.454,0.2,,,,,,,,,,,,,,
48,2,Southern Province,22,Gisagara,2204,Kibirizi,26.79483929,26235,0.465,0.444,0.206,,,,,,,,,,,,,,
49,2,Southern Province,22,Gisagara,2205,Kigembe,0.600449885,25398,0.468,0.447,0.209,,,,,,,,,,,,,,
50,2,Southern Province,22,Gisagara,2206,Mamba,4.302454225,41774,0.525,0.46,0.241,,,,,,,,,,,,,,
51,2,Southern Province,22,Gisagara,2207,Muganza,3.079993985,34884,0.54,0.461,0.249,,,,,,,,,,,,,,
52,2,Southern Province,22,Gisagara,2208,Mugombwa,0.720934532,23987,0.461,0.441,0.203,,,,,,,,,,,,,,
