Business Name,Establishment District,Business Activity,Phone Number,Email Address
GORILLAND SAFARIS Ltd,NYARUGENGE,Activities Of Agencies Primarily Engaged In Selling Travel  Tour  Transportation And Accommodation Services To The General Public And Commercial Clients,788307754,info@gorilland.com
VOLCANOES SAFARIS LTD,NYARUGENGE,Activities Of Agencies Primarily Engaged In Selling Travel  Tour  Transportation And Accommodation Services To The General Public And Commercial Clients,788302069,salesrw@volcanoessafaris.com
THE FAR HORIZON LTD,GASABO,Activities Of Agencies Primarily Engaged In Selling Travel  Tour  Transportation And Accommodation Services To The General Public And Commercial Clients,785658777,rwanda@thefarrizons.com
ALLIANCE INSURANCE BROKERS LTD,GASABO,Activities Of Assuming All Or Part Of The Risk Associated With Existing Insurance Policies  Originally Underwritten By Other Insurance Carriers,788503733,oswald@alliancegvp.co
WORLD UNITED SERVICES FOREX  BUREAU Ltd,NYARUGENGE,Activities Of Bureaux de Change  (i.e Forex Bureaux)Etc.,788758738,worldunitedservices@yahoo.fr
TUZAMURANE FOREX BUREAU Ltd,NYARUGENGE,Activities Of Bureaux de Change  (i.e Forex Bureaux)Etc.,788533725,tuzamuranefb@yahoo.fr
DUKOMERE FOREX BUREAU Ltd,NYARUGENGE,Activities Of Bureaux de Change  (i.e Forex Bureaux)Etc.,788831228,dukomereforex@gmail.com
ALPHA FOREX BUREAU Ltd,NYARUGENGE,Activities Of Bureaux de Change  (i.e Forex Bureaux)Etc.,788353566,alpha.fb10@yahoo.com
MUHABURA FOREX BUREAU Ltd,NYARUGENGE,Activities Of Bureaux de Change  (i.e Forex Bureaux)Etc.,788593513,muhaburafrx@yahoo.fr
DUTERANINKUNGA FOREX BUREAU Ltd,NYARUGENGE,Activities Of Bureaux de Change  (i.e Forex Bureaux)Etc.,788525039,dduteraninkungaf@yahoo.com
INSHUTI FOREX BUREAU Ltd,GASABO,Activities Of Bureaux de Change  (i.e Forex Bureaux)Etc.,788453072,inshuti2fb@yahoo.fr
WAKE UP FOREX BUREAU  LTD,NYARUGENGE,Activities Of Bureaux de Change  (i.e Forex Bureaux)Etc.,788585987,wakeup@gmail.com
FOREX BUREAU UMUCYO FAMILLE Ltd,NYARUGENGE,Activities Of Bureaux de Change  (i.e Forex Bureaux)Etc.,788513274,umucyofamillefb@yahoo.com
INEZA Ltd,NYARUGENGE,Activities Of Bureaux de Change  (i.e Forex Bureaux)Etc.,788679772,inezafb@yail.com
VICTOIRE FOREX BUREAU Ltd,NYARUGENGE,Activities Of Bureaux de Change  (i.e Forex Bureaux)Etc.,788568208,victoirefb3030@gmail.com
GOD IS ABLE FOREX BUREAU LTD,NYARUGENGE,Activities Of Bureaux de Change  (i.e Forex Bureaux)Etc.,788846148,godisableforexbureau@yahoo.com
