Year,2000,,,,,,,,,,,,2001,,,,,,,,,,,,2002,,,,,,,,,,,,2003,,,,,,,,,,,,2004,,,,,,,,,,,,2005,,,,,,,,,,,,2006,,,,,,,,,,,,2007,,,,,,,,,,,,2008,,,,,,,,,,,,2009,,,,,,,,,,,,2010,,,,,,,,,,,,2011,,,,,,,,,,,,2012,,,,,,,,,,,,2013,,,,,,,,,,,,2014,,,,,,,,,,,
Month,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Nyarugenge,52.9,52.9,100.0,103.9,84.4,15.6,11.8,17.6,29.4,117.6,145.2,78.5,82.4,68.6,229.4,102.0,66.7,15.6,25.6,35.3,98.0,207.9,172.6,103.9,76.5,80.3,96.1,156.8,152.9,11.8,11.8,17.6,35.3,35.3,102.0,129.4,52.9,62.7,52.9,164.7,107.9,23.5,17.6,58.8,98.0,127.4,105.9,58.8,82.4,98.0,145.0,180.3,60.8,25.0,11.8,29.4,103.9,105.9,200.0,131.2,64.7,86.2,147.1,117.6,100.0,21.5,11.8,76.5,133.3,205.9,76.5,41.2,58.8,98.0,135.3,209.7,119.7,15.6,17.6,62.7,50.9,80.3,207.9,198.0,70.6,115.6,111.8,150.9,286.4,45.0,29.4,45.0,98.0,103.9,111.8,62.7,52.9,74.4,135.3,100.0,60.8,50.9,17.6,55.0,74.4,100.0,94.1,70.6,64.7,180.3,123.5,168.6,174.4,17.6,11.8,23.5,31.4,135.3,102.0,70.6,98.0,213.6,147.1,135.3,86.2,41.2,11.8,17.6,84.4,109.7,96.1,131.4,76.5,115.6,123.5,125.6,117.6,45.0,11.8,70.6,170.6,160.8,164.7,92.1,47.1,74.4,117.6,200.0,174.6,29.4,11.8,60.8,105.9,166.7,137.3,127.4,76.5,76.5,207.9,137.3,66.7,11.8,11.8,35.3,121.5,94.1,131.4,127.4,58.8,98.0,135.3,121.7,43.2,23.5,11.8,50.9,72.6,105.9,113.8,66.7
Gasabo,52.9,60.4,113.3,103.1,74.9,17.6,11.8,23.5,29.4,131.0,167.8,80.8,88.2,76.5,263.5,105.9,76.5,17.6,25.1,35.3,98.5,219.2,179.6,105.9,80.8,83.9,114.9,158.8,156.0,11.8,11.8,23.5,36.8,36.8,114.9,135.3,58.8,70.6,58.8,173.7,114.9,23.5,17.6,60.4,94.1,141.2,110.5,58.8,94.1,111.8,172.1,185.4,61.9,22.8,13.3,29.4,100.0,120.7,207.4,129.4,64.7,95.7,173.7,120.7,105.9,17.6,11.8,70.6,129.4,211.8,83.9,47.1,58.8,113.3,160.4,212.1,131.0,11.8,19.2,54.5,47.1,83.9,222.3,189.8,78.0,129.4,131.0,154.5,273.1,41.2,29.4,36.8,91.3,105.9,114.9,58.8,52.9,82.4,154.5,101.5,69.3,41.2,11.8,54.5,64.7,100.0,100.0,69.0,70.6,203.1,150.2,167.8,172.1,17.6,11.8,25.1,35.3,142.7,113.3,72.1,98.5,238.4,173.7,136.8,86.7,41.2,13.3,17.6,95.7,113.3,100.0,131.0,83.9,125.1,144.3,128.2,119.2,42.7,13.3,66.3,163.2,169.3,166.3,92.6,52.9,78.0,142.7,200.3,185.1,29.4,11.8,60.4,100.0,166.3,148.6,116.1,76.5,76.5,236.8,142.7,70.6,11.8,11.8,36.8,117.6,101.5,142.7,127.9,58.8,111.8,156.0,132.5,47.1,19.2,11.8,51.4,74.9,113.3,123.5,72.1
Kicukiro,52.2,60.8,107.1,106.1,84.6,17.2,11.8,21.8,29.4,125.5,153.7,80.4,90.2,73.8,251.0,100.5,65.2,17.2,27.7,35.8,94.1,212.7,180.6,104.7,76.7,84.8,104.7,160.3,158.3,13.0,11.8,22.5,34.1,34.1,105.9,133.6,57.8,70.8,57.8,169.1,104.4,23.5,17.6,53.4,98.3,139.7,112.0,58.1,86.0,109.1,161.0,183.1,63.5,25.0,11.8,29.4,103.4,109.3,209.6,128.9,64.2,90.2,162.0,117.2,102.9,22.3,11.8,74.3,130.6,209.8,80.6,44.1,60.0,106.6,150.7,209.6,123.8,14.2,21.3,62.5,51.7,81.9,219.6,194.9,74.3,125.5,121.3,156.1,288.2,43.6,29.4,42.9,95.3,102.2,116.4,63.5,52.9,82.6,142.4,101.2,59.3,48.8,17.6,50.5,67.4,101.7,99.0,70.1,69.6,194.4,141.4,171.3,177.7,17.6,11.8,24.8,34.1,137.3,105.9,70.6,103.2,233.8,157.8,141.2,90.2,38.0,14.7,17.6,85.3,111.5,99.5,126.2,80.1,118.9,133.6,125.2,119.4,47.1,13.0,68.1,171.6,163.7,171.3,93.6,50.0,78.9,132.6,204.4,174.3,29.4,11.8,59.8,101.2,166.2,145.3,120.8,76.0,76.0,223.0,135.0,65.9,11.8,11.8,35.3,122.1,94.1,138.2,127.7,62.5,106.1,146.1,122.8,40.9,22.8,11.8,50.5,69.4,110.5,117.6,68.9
Nyanza,52.9,52.9,100.0,105.9,82.4,17.6,11.8,17.6,29.4,117.6,141.2,76.5,82.4,70.6,229.4,100.0,64.7,17.6,23.5,35.3,100.0,205.9,170.6,105.9,76.5,82.4,94.1,158.8,152.9,11.8,11.8,17.6,35.3,35.3,100.0,129.4,52.9,64.7,52.9,164.7,105.9,23.5,17.6,58.8,100.0,129.4,105.9,58.8,82.4,100.0,147.1,182.4,58.8,26.5,11.8,29.4,105.9,105.9,200.0,135.3,64.7,88.2,147.1,117.6,100.0,23.5,11.8,76.5,135.3,205.9,76.5,41.2,58.8,100.0,135.3,211.8,117.6,17.6,17.6,64.7,52.9,82.4,205.9,200.0,70.6,117.6,111.8,152.9,282.4,47.1,29.4,47.1,100.0,105.9,111.8,64.7,52.9,76.5,135.3,100.0,58.8,52.9,17.6,52.9,76.5,100.0,94.1,70.6,64.7,182.4,123.5,170.6,176.5,17.6,11.8,23.5,29.4,135.3,100.0,70.6,100.0,217.6,147.1,135.3,88.2,41.2,11.8,17.6,82.4,111.8,94.1,129.4,76.5,117.6,123.5,123.5,117.6,47.1,11.8,70.6,170.6,158.8,164.7,94.1,47.1,76.5,117.6,200.0,170.6,29.4,11.8,58.8,105.9,164.7,135.3,129.4,76.5,76.5,205.9,135.3,64.7,11.8,11.8,35.3,123.5,94.1,129.4,129.4,58.8,100.0,135.3,117.6,41.2,23.5,11.8,52.9,70.6,105.9,111.8,64.7
Gisagara,51.1,58.8,104.6,107.7,74.4,17.6,11.8,21.4,29.4,125.5,152.3,81.4,90.6,70.7,242.0,101.4,65.0,17.6,24.6,37.9,85.4,208.6,188.4,102.7,77.0,81.0,97.8,167.7,148.2,17.6,11.8,24.7,29.4,29.4,111.8,133.5,60.0,66.8,60.0,168.0,94.5,23.5,15.6,45.0,91.2,138.3,119.7,56.9,84.6,101.2,156.1,189.7,66.0,26.3,11.8,29.3,94.6,109.8,219.0,123.7,63.1,82.4,158.6,116.5,97.9,21.4,11.8,74.4,128.2,210.6,82.4,41.2,65.8,102.5,149.4,219.3,111.2,17.6,18.8,66.4,49.7,82.2,224.4,191.8,72.8,110.3,112.5,172.5,260.7,46.0,27.3,42.5,93.9,107.5,119.3,61.6,53.2,77.5,136.6,105.9,56.7,48.8,17.5,48.8,64.2,108.8,101.2,66.9,73.9,176.6,136.9,173.9,165.1,17.8,11.8,27.2,35.2,140.9,110.7,70.8,104.1,208.2,151.6,152.8,99.6,41.6,11.8,17.6,76.2,116.1,103.3,124.1,78.7,107.6,126.3,130.6,110.8,50.8,17.5,53.5,157.4,168.6,180.1,98.7,48.0,73.1,129.0,207.5,185.5,28.5,11.8,61.4,94.9,173.3,151.9,125.5,74.0,74.0,209.9,134.0,65.0,11.8,11.8,34.0,115.7,94.0,143.3,122.5,62.1,99.7,142.0,127.6,37.9,21.3,11.8,43.8,59.7,118.3,124.6,65.9
Nyaruguru,52.9,52.9,100.0,100.0,88.2,11.8,11.8,17.6,29.4,117.6,152.9,82.4,82.4,64.7,229.4,105.9,70.6,11.8,29.4,35.3,94.1,211.8,176.5,100.0,76.5,76.5,100.0,152.9,152.9,11.8,11.8,17.6,35.3,35.3,105.9,129.4,52.9,58.8,52.9,164.7,111.8,23.5,17.6,58.8,94.1,123.5,105.9,58.8,82.4,94.1,141.2,176.5,64.7,22.1,11.8,29.4,100.0,105.9,200.0,123.5,64.7,82.4,147.1,117.6,100.0,17.6,11.8,76.5,129.4,205.9,76.5,41.2,58.8,94.1,135.3,205.9,123.5,11.8,17.6,58.8,47.1,76.5,211.8,194.1,70.6,111.8,111.8,147.1,294.1,41.2,29.4,41.2,94.1,100.0,111.8,58.8,52.9,70.6,135.3,100.0,64.7,47.1,17.6,58.8,70.6,100.0,94.1,70.6,64.7,176.5,123.5,164.7,170.6,17.6,11.8,23.5,35.3,135.3,105.9,70.6,94.1,205.9,147.1,135.3,82.4,41.2,11.8,17.6,88.2,105.9,100.0,135.3,76.5,111.8,123.5,129.4,117.6,41.2,11.8,70.6,170.6,164.7,164.7,88.2,47.1,70.6,117.6,200.0,182.4,29.4,11.8,64.7,105.9,170.6,141.2,123.5,76.5,76.5,211.8,141.2,70.6,11.8,11.8,35.3,117.6,94.1,135.3,123.5,58.8,94.1,135.3,129.4,47.1,23.5,11.8,47.1,76.5,105.9,117.6,70.6
Huye,52.9,52.9,100.0,105.9,82.4,17.6,11.8,17.6,29.4,117.6,141.2,76.5,82.4,70.6,229.4,100.0,64.7,17.6,23.5,35.3,100.0,205.9,170.6,105.9,76.5,82.4,94.1,158.8,152.9,11.8,11.8,17.6,35.3,35.3,100.0,129.4,52.9,64.7,52.9,164.7,105.9,23.5,17.6,58.8,100.0,129.4,105.9,58.8,82.4,100.0,147.1,182.4,58.8,26.5,11.8,29.4,105.9,105.9,200.0,135.3,64.7,88.2,147.1,117.6,100.0,23.5,11.8,76.5,135.3,205.9,76.5,41.2,58.8,100.0,135.3,211.8,117.6,17.6,17.6,64.7,52.9,82.4,205.9,200.0,70.6,117.6,111.8,152.9,282.4,47.1,29.4,47.1,100.0,105.9,111.8,64.7,52.9,76.5,135.3,100.0,58.8,52.9,17.6,52.9,76.5,100.0,94.1,70.6,64.7,182.4,123.5,170.6,176.5,17.6,11.8,23.5,29.4,135.3,100.0,70.6,100.0,217.6,147.1,135.3,88.2,41.2,11.8,17.6,82.4,111.8,94.1,129.4,76.5,117.6,123.5,123.5,117.6,47.1,11.8,70.6,170.6,158.8,164.7,94.1,47.1,76.5,117.6,200.0,170.6,29.4,11.8,58.8,105.9,164.7,135.3,129.4,76.5,76.5,205.9,135.3,64.7,11.8,11.8,35.3,123.5,94.1,129.4,129.4,58.8,100.0,135.3,117.6,41.2,23.5,11.8,52.9,70.6,105.9,111.8,64.7
Nyamagabe,52.9,53.9,101.0,105.9,81.4,17.6,11.8,18.6,29.4,118.6,142.2,77.5,83.3,70.6,231.4,100.0,64.7,17.6,23.5,36.3,98.0,206.9,173.5,105.9,75.5,82.4,95.1,159.8,152.0,12.7,11.8,18.6,34.3,34.3,102.0,130.4,53.9,64.7,53.9,164.7,104.9,23.5,17.6,56.9,99.0,130.4,107.8,58.8,82.4,100.0,148.0,183.3,59.8,26.6,11.8,29.4,104.9,106.9,202.9,133.3,63.7,87.3,149.0,116.7,100.0,23.5,11.8,76.5,134.3,207.8,77.5,41.2,59.8,101.0,138.2,212.7,115.7,17.6,17.6,65.7,52.9,82.4,208.8,198.0,70.6,116.7,111.8,155.9,280.4,47.1,29.4,47.1,99.0,106.9,113.7,64.7,52.9,76.5,136.3,101.0,58.8,52.9,17.6,52.9,75.5,102.0,95.1,69.6,65.7,182.4,125.5,171.6,175.5,17.6,11.8,24.5,30.4,136.3,102.0,70.6,100.0,216.7,148.0,138.2,90.2,42.2,11.8,17.6,81.4,113.7,95.1,129.4,76.5,116.7,124.5,124.5,116.7,48.0,12.7,68.6,169.6,161.8,167.6,94.1,47.1,76.5,119.6,202.9,174.5,29.4,11.8,59.8,103.9,166.7,138.2,129.4,75.5,75.5,206.9,135.3,64.7,11.8,11.8,35.3,121.6,94.1,131.4,128.4,58.8,100.0,136.3,118.6,41.2,23.5,11.8,52.0,68.6,107.8,113.7,64.7
Ruhango,52.9,52.9,100.0,104.7,83.5,16.5,11.8,17.6,29.4,117.6,143.5,77.6,82.4,69.4,229.4,101.2,65.9,16.5,24.7,35.3,98.8,207.1,171.8,104.7,76.5,81.2,95.3,157.6,152.9,11.8,11.8,17.6,35.3,35.3,101.2,129.4,52.9,63.5,52.9,164.7,107.1,23.5,17.6,58.8,98.8,128.2,105.9,58.8,82.4,98.8,145.9,181.2,60.0,25.6,11.8,29.4,104.7,105.9,200.0,132.9,64.7,87.1,147.1,117.6,100.0,22.4,11.8,76.5,134.1,205.9,76.5,41.2,58.8,98.8,135.3,210.6,118.8,16.5,17.6,63.5,51.8,81.2,207.1,198.8,70.6,116.5,111.8,151.8,284.7,45.9,29.4,45.9,98.8,104.7,111.8,63.5,52.9,75.3,135.3,100.0,60.0,51.8,17.6,54.1,75.3,100.0,94.1,70.6,64.7,181.2,123.5,169.4,175.3,17.6,11.8,23.5,30.6,135.3,101.2,70.6,98.8,215.3,147.1,135.3,87.1,41.2,11.8,17.6,83.5,110.6,95.3,130.6,76.5,116.5,123.5,124.7,117.6,45.9,11.8,70.6,170.6,160.0,164.7,92.9,47.1,75.3,117.6,200.0,172.9,29.4,11.8,60.0,105.9,165.9,136.5,128.2,76.5,76.5,207.1,136.5,65.9,11.8,11.8,35.3,122.4,94.1,130.6,128.2,58.8,98.8,135.3,120.0,42.4,23.5,11.8,51.8,71.8,105.9,112.9,65.9
Muhanga,52.9,52.9,100.0,105.9,82.4,17.6,11.8,17.6,29.4,117.6,141.2,76.5,82.4,70.6,229.4,100.0,64.7,17.6,23.5,35.3,100.0,205.9,170.6,105.9,76.5,82.4,94.1,158.8,152.9,11.8,11.8,17.6,35.3,35.3,100.0,129.4,52.9,64.7,52.9,164.7,105.9,23.5,17.6,58.8,100.0,129.4,105.9,58.8,82.4,100.0,147.1,182.4,58.8,26.5,11.8,29.4,105.9,105.9,200.0,135.3,64.7,88.2,147.1,117.6,100.0,23.5,11.8,76.5,135.3,205.9,76.5,41.2,58.8,100.0,135.3,211.8,117.6,17.6,17.6,64.7,52.9,82.4,205.9,200.0,70.6,117.6,111.8,152.9,282.4,47.1,29.4,47.1,100.0,105.9,111.8,64.7,52.9,76.5,135.3,100.0,58.8,52.9,17.6,52.9,76.5,100.0,94.1,70.6,64.7,182.4,123.5,170.6,176.5,17.6,11.8,23.5,29.4,135.3,100.0,70.6,100.0,217.6,147.1,135.3,88.2,41.2,11.8,17.6,82.4,111.8,94.1,129.4,76.5,117.6,123.5,123.5,117.6,47.1,11.8,70.6,170.6,158.8,164.7,94.1,47.1,76.5,117.6,200.0,170.6,29.4,11.8,58.8,105.9,164.7,135.3,129.4,76.5,76.5,205.9,135.3,64.7,11.8,11.8,35.3,123.5,94.1,129.4,129.4,58.8,100.0,135.3,117.6,41.2,23.5,11.8,52.9,70.6,105.9,111.8,64.7
