,2000,,,,,,,,,,,,2001,,,,,,,,,,,,2002,,,,,,,,,,,,2003,,,,,,,,,,,,2004,,,,,,,,,,,,2005,,,,,,,,,,,,2006,,,,,,,,,,,,2007,,,,,,,,,,,,2008,,,,,,,,,,,,2009,,,,,,,,,,,,2010,,,,,,,,,,,,2011,,,,,,,,,,,,2012,,,,,,,,,,,,2013,,,,,,,,,,,,2014,,,,,,,,,,,
District,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Nyarugenge,NA,NA,NA,NA,127.1335578,114.1946582,97.70739397,95.6993281,88.72996508,94.39622571,126.3125955,141.5359033,124.0947907,130.9202862,131.5412049,138.422121,140.759388,130.9298725,113.2161218,115.8097641,118.8583062,124.2590698,136.4267965,134.7614009,128.9887795,133.8604044,131.3194954,133.6095967,129.2792523,126.131836,109.4689603,105.5413457,107.4804211,107.1978244,123.0461586,137.1440293,129.2251232,123.1015801,117.7216848,117.0397275,127.7165132,115.7036245,100.2221942,97.06970244,108.4977939,108.9462303,131.1965409,119.6897524,121.9877768,118.9776678,117.9414269,132.4972238,136.6180103,119.0255307,101.3228224,96.44032192,97.9411532,106.6208486,117.3422677,116.3290655,119.2901711,116.9885771,117.3329282,133.0379194,133.9716856,118.9859937,102.4979714,98.880606,103.7073343,115.8777674,127.4896109,120.4507105,112.8077073,108.2636585,112.060246,131.4533251,138.5125793,117.8439102,107.0692829,100.0977418,95.681838,92.74301948,117.7255333,137.3617586,130.2246828,119.5203581,125.2526891,124.13378,141.8440634,134.7296815,121.780169,124.295931,115.5311995,115.7739163,120.1501577,127.4095248,119.9549612,114.1037842,122.9022428,138.5658601,138.2640394,121.6215582,112.7079902,103.2203628,100.9448346,103.3125596,117.5685959,125.0083803,107.7981237,114.872982,121.735569,130.5096665,132.6751006,121.9034145,109.0495614,100.1842833,94.98946049,101.735981,124.0053951,120.8357822,115.3351008,111.3563175,123.6081144,140.1016157,127.8544996,123.3258184,109.0132402,97.6245458,101.8814062,109.5858528,123.5670961,112.8222347,111.8623779,108.6530984,118.1656103,131.4335785,129.9162717,121.2881339,112.8001522,105.1535353,109.4836457,115.3359942,124.4494649,123.9428008,119.8188844,105.4710994,112.3034348,122.3260777,131.7828904,124.5149905,108.9352185,102.3171674,101.8444181,106.137626,120.0282505,129.6690903,125.0682736,122.528561,117.8925074,108.9718702,123.2114487,116.5480722,104.1772149,99.89605746,104.0739787,113.7106829,110.4375364,117.3691027,109.9451929,110.6992406,113.5968727,133.5323565,128.0716025,116.1183069,102.4158842,98.55087277,113.8274487,119.2340887,130.368276,119.3100344
Gasabo,NA,NA,NA,NA,134.2743651,121.7468629,101.7610175,96.82107909,89.28289474,96.75327337,132.5650692,144.3224277,123.5728731,130.0179049,131.2140761,147.5247162,149.1509313,137.0990831,118.3798545,113.1013149,121.3624578,126.7483131,145.6659603,140.247517,134.0188535,136.1044991,136.5889562,142.8488196,145.1191353,132.3384204,113.2809812,105.7541101,104.4937307,108.1732312,130.11654,146.69524,128.9990642,121.2305042,113.8319938,131.7054067,139.6069011,128.2075086,105.0453367,97.38393987,108.3023278,120.7486021,148.0376394,131.1946558,125.9943044,115.991631,121.0472527,136.0924552,143.4659595,122.1734201,101.6247401,93.32670669,96.0364279,110.3798505,131.0804093,122.3187597,114.58669,112.9486992,119.31335,138.052868,143.8837283,126.8162083,108.1115413,99.85188101,99.09402002,112.5172948,130.2454788,117.1723295,108.6126618,102.4269069,112.533268,136.8830438,147.4333556,124.3233431,109.3537296,100.5055806,98.61849899,95.09179868,120.5552271,142.7532512,126.6508991,123.8852628,127.4326136,126.6001381,144.3556462,135.2158923,120.1324637,116.8408322,112.355223,115.804227,134.9134132,131.7590852,126.8440562,117.8940205,128.7835297,141.9074427,141.7106239,126.8061841,115.5017175,103.6973305,99.02638399,104.0451299,118.8869631,130.8796472,114.0577826,120.9368783,124.3084941,140.1438066,137.9052596,126.248953,108.0931608,101.3613032,95.31613879,106.2328672,130.4406206,131.5265573,123.759842,120.2587538,132.5809092,146.763175,135.7139435,128.6716926,109.6287519,97.71080445,99.26619438,112.8430626,131.0489643,120.4380602,110.9612959,111.7634836,125.4627598,136.027531,135.9028829,126.6062039,114.3136648,102.26169,110.3779213,118.7968936,134.4011115,134.4040261,122.3477103,105.7865929,113.116374,125.8917201,140.7680307,128.0467687,113.1485326,103.4653761,101.2814846,112.4318363,125.0860183,133.4472706,127.7969584,119.908951,119.75719,119.4778122,129.8898496,119.0829528,103.8705112,96.28464466,101.6435171,110.5452279,115.0584392,122.5238208,108.3170463,109.7671329,115.2305092,133.1912077,131.8758071,114.5605264,98.38763667,94.16093452,113.13286,116.2225775,129.540706,125.1903701
Kicukiro,NA,NA,NA,NA,127.1976424,112.7092868,95.87081035,93.06527811,86.07576657,90.36217265,123.7391273,146.5379682,124.0225344,128.1799224,127.3035602,140.3179931,144.4528636,133.4696026,114.4918569,113.4947019,117.0797643,124.9199324,142.0286805,138.9780028,131.277747,134.8915952,134.7346529,141.1735078,136.6539513,123.6365084,109.3869508,105.6087557,105.8095652,111.7113394,128.8051362,144.7192035,129.6494323,119.5566115,109.8708384,129.0728139,131.355856,115.7747177,97.97995305,94.18541044,105.625273,114.8556431,137.017893,132.0816476,138.0006604,122.2917518,126.3890746,136.3273641,137.2334951,116.1344692,99.78037906,92.34801442,89.11386197,100.4253843,127.5281413,122.8413025,119.1027082,115.0214128,117.4770172,132.2195972,133.438275,118.4719823,100.5358143,93.13779866,93.15426146,109.1998684,128.1206266,122.4504885,108.4657305,101.4514421,113.0737742,137.2326754,143.7195346,119.0465189,108.3069376,97.17916588,94.63863277,89.99080415,119.1098404,139.5330919,132.1749788,125.5022812,126.7372034,122.7952408,141.5876131,135.9150644,119.8294925,116.6910692,110.3869771,115.3433787,125.7819145,133.5948282,127.8894259,117.7374155,123.9162474,140.9021996,140.4186774,123.9815762,112.8554769,102.0936406,99.80833848,106.7854592,114.0148054,113.0856326,110.3968754,112.4283454,120.3001254,135.584706,134.9387151,123.1166569,107.3880705,97.05583587,90.7662923,102.8315762,121.9113233,121.4882437,120.9198364,114.4562247,127.5076083,142.040836,128.04928,123.5814142,108.017117,96.77074544,96.98106894,104.5195368,126.2864053,118.6693554,121.9931745,110.5917172,117.35582,130.3996815,128.9965901,121.6318915,109.6836684,100.6449241,107.1712643,115.7066117,123.3884429,126.5672038,117.813012,104.1755058,112.4908174,125.2234591,131.1825809,121.1191295,105.840054,98.72061098,98.7754922,105.3204438,120.4017151,124.4787567,123.9402507,120.716869,117.3837298,116.1484969,124.7818278,115.3983766,100.7318563,97.60587658,102.9952804,112.0834291,114.5098075,124.1980279,113.2634642,111.6494775,112.6646457,130.9590942,126.1412432,108.4875877,96.01755808,93.20558862,107.2355295,107.6467842,127.4850245,118.0183972
Nyanza,NA,NA,NA,NA,130.4075654,115.4760824,100.6323569,95.5655591,92.3354103,97.44238706,128.4067634,142.4029331,121.2875262,128.7814277,135.6107685,150.3552368,148.996466,137.6295288,117.7774894,117.5783674,120.2399946,130.178169,146.3965195,148.8229633,140.4777325,135.3443254,138.5289582,143.8284395,144.9444099,133.6864997,114.1981065,109.9178398,105.9327107,113.9715588,133.2144697,142.7208859,129.1690397,127.0449831,128.3424621,141.7420919,144.726133,134.3336371,109.3587369,101.5458541,111.9363554,124.3323228,135.4484947,128.2263378,129.7409945,131.6741277,129.6616865,142.2396038,144.6292109,123.1556115,105.8128255,100.8382652,102.9525474,113.1299031,135.8279332,127.5621582,127.316112,130.5437354,135.5807179,148.5585618,146.3417964,130.584854,110.581033,102.9033033,114.0166426,125.7198781,128.4575382,119.7094918,108.9917901,102.6443987,116.5526105,138.937786,144.5680431,122.5259109,109.474596,103.4576756,100.0016426,105.0160363,124.1886408,135.2633794,140.4061741,129.6376218,131.6183963,136.5180579,145.5774776,136.8772332,124.3185306,119.2385194,114.0106616,122.5612923,130.0490774,130.4822079,125.7922105,117.9972589,130.6068782,147.4451238,147.0240012,131.8208097,117.85897,105.8651425,109.9370841,112.4798905,126.0670842,129.284287,121.3412673,133.2541902,132.4306532,145.7161602,145.7169887,130.1296842,113.1898187,100.7748504,96.17708121,109.1230568,126.9223574,128.9067711,123.0523649,119.9587564,140.405641,150.3804434,136.9945461,135.2067729,116.5895991,102.0274682,107.5165915,114.4742692,127.5838495,128.1894394,126.899612,119.6842487,129.6536384,140.6547507,136.5962851,127.2252068,116.3782601,110.4166265,111.4752288,117.9236732,133.8838302,138.1782362,121.914534,108.3850948,117.540779,130.7854373,140.9609854,130.4170274,117.3732402,109.4581745,112.4264386,114.6674346,123.4993466,130.4206602,125.6568727,119.2778681,123.0709719,135.2139124,135.5674074,122.1235144,106.1204728,99.69314221,104.1000539,117.764638,122.7494166,127.9607313,118.6343246,112.7998412,124.8438243,141.7545787,127.0757298,117.4069556,107.4815961,101.1194758,112.5017959,116.7108726,123.9542577,124.504017
Gisagara,NA,NA,NA,NA,124.8776285,113.0878269,100.303528,97.35343347,94.04727794,96.44231587,120.5451908,139.3206309,124.6692066,129.3746716,136.2299139,144.7442158,150.3849806,137.3239274,118.4411774,118.294024,118.2392278,126.3431487,152.0081406,147.3765641,136.956678,134.2394726,140.2357029,147.6888917,144.0881692,130.8658168,115.2595293,111.2639761,109.650461,119.7562462,128.2416235,140.8757252,131.3579389,127.2060119,130.6384327,144.3661534,143.3168138,133.2963315,110.7344292,103.2967799,109.2486554,119.3872477,132.5940482,132.2669535,126.39377,129.467829,129.8419521,139.1557561,140.2025569,121.0838175,103.962627,99.06565518,99.84896601,111.2129578,131.0861469,132.1373271,131.5443129,123.2694573,131.7515117,148.199184,148.6072953,130.314171,110.632041,101.6311829,105.1839225,116.6927013,125.5914279,117.0262835,106.2096411,101.0487913,114.3861228,145.2145068,143.9346616,123.0933476,111.3573108,100.4405636,98.58845497,102.7003948,123.287772,138.2765305,135.6102355,124.1741882,124.542904,132.7021425,145.0202942,134.7782276,120.3111285,113.6910864,108.364751,116.9059519,131.9229756,129.8310399,120.7363583,115.7295028,127.8337637,140.9468187,140.608857,129.5503018,115.2173901,104.869381,105.3234809,109.671413,129.396714,128.0725695,121.6926227,126.0589503,128.2620035,141.3938443,141.583705,127.2402572,109.57144,97.71981424,95.34673535,100.8684557,125.4963835,132.594652,121.0664716,117.7827713,134.9992059,147.2929613,133.7913195,127.106578,109.5299169,97.98801134,100.6967476,102.9768779,123.1601401,124.0673404,119.2774788,114.0642528,122.8118198,137.6850535,136.784905,126.7169457,113.0659159,105.1007095,105.2577853,114.005366,134.2189008,137.9006504,119.0187772,109.8841861,118.6472395,136.8443879,140.3645817,124.6688741,112.9452266,105.7041208,102.7641246,112.2418614,135.7857943,134.2179116,128.3740661,121.0473603,123.1317697,139.8642981,133.2051324,118.0919797,103.2332573,98.64679638,100.3087297,113.9595937,122.2936933,130.8565769,120.7284456,112.1992786,122.378951,139.4817396,129.7025921,115.649987,101.0564055,95.38798995,99.38707174,116.9339847,127.2393951,126.9944472
Nyaruguru,NA,NA,NA,NA,129.6223645,122.6006955,111.2817847,102.5606031,104.0604661,111.548633,118.5863931,130.6704898,122.3492041,122.91174,133.3421143,136.5923251,137.2730367,135.9567073,122.6234501,117.0105292,117.6422778,127.0431799,144.3149599,142.5557633,136.4551308,140.0793182,132.946005,137.8586213,139.9468917,134.4696587,119.5830615,111.0762377,105.7537594,112.8363273,123.6746469,135.4463723,130.5118873,135.5968156,139.0432012,143.9118,140.4066099,134.60249,115.9960765,111.0937523,117.8739389,120.7659696,131.4801051,130.5395039,132.6509423,132.3140848,132.5176231,138.0907421,138.427279,126.5139032,113.205376,109.3787709,110.5350862,118.4987436,123.219443,126.431946,130.8534621,133.6368419,141.6941452,139.9989666,137.666222,128.8832637,116.5708225,111.4643059,111.1357061,123.7762702,124.9415541,126.5191722,119.0882021,119.0110888,123.5117407,138.3542966,136.7611495,125.3966817,115.4967667,111.3740396,109.8573452,111.6284157,121.7653279,130.1658718,127.6888098,127.7090338,128.7171195,136.1601077,141.6353524,133.2546137,123.6075526,118.6647445,119.3785443,128.7382771,134.1043631,136.9118694,134.2142127,125.7432671,130.9439841,138.2976429,138.2239807,129.2556737,122.2858249,115.207693,111.2613463,123.000043,129.6309936,125.1340683,130.85067,138.9455315,132.3386406,135.9273459,136.407617,128.6310815,119.0291193,110.1138401,108.5828892,113.5083442,124.6194975,132.4065136,128.1991755,135.7762949,143.1607144,140.9177607,128.7712577,130.663924,115.0267637,107.3688905,109.7776045,109.3080107,122.973821,122.0455234,123.6420015,125.4946533,134.3560268,125.5266447,116.1435887,126.1641175,117.5151818,109.5051253,115.3115877,110.4115411,129.3314968,130.5127028,121.9506429,118.0972569,121.2901644,112.7567274,121.4923164,126.8654772,116.0190419,111.7295886,111.9957384,113.9587418,114.1091349,118.1290079,136.6037883,136.552953,131.4271749,122.4655869,122.2566425,123.3563494,113.943931,104.3465782,102.8288132,119.6905224,113.2620124,124.7041509,123.4490429,114.9944035,131.5708759,137.8287837,117.217116,123.9767329,115.8049681,106.4813293,118.1106207,114.1687235,114.5449266,125.7016144
Huye,NA,NA,NA,NA,126.3618628,113.8752434,97.9911595,93.18905041,92.2657809,97.49992317,117.1865485,132.1773956,117.4588827,120.2681305,129.0421989,139.5221838,142.2852501,132.8851879,113.7044406,112.7370326,113.8967896,124.5415527,149.6812447,143.574033,132.3239166,127.5485819,131.3021102,138.9509697,137.5299434,129.4594205,110.6304007,103.4837188,100.1373357,106.7041678,120.3862631,134.1546982,123.625515,120.7371716,126.7545249,142.6411603,145.8170559,132.1906201,106.7921482,100.0539186,104.540417,112.6254176,125.0987365,120.2532295,118.0408182,119.378138,122.010125,132.6076392,136.8362365,119.3612231,103.1857345,97.53364342,97.71574975,110.2466274,130.9216816,131.2898293,128.5823376,127.8567545,133.8992374,144.4325883,139.768578,126.7016063,109.3029575,100.640075,105.8706412,112.9044531,120.8681379,114.4696701,103.6755339,99.68823099,113.5494494,140.5174817,142.1038314,121.1417798,109.5675948,102.8405396,102.0721953,104.3297279,119.9486021,132.4519454,134.6851703,123.1645954,126.4583026,131.6301746,140.6668818,130.7362611,119.812495,113.7108318,108.6837546,119.1911441,124.0638883,126.7206081,125.8222791,114.8788354,125.9672946,138.7845346,138.4364186,126.9111228,113.7982618,103.485366,101.6529229,111.1241872,123.4264964,124.5011447,118.6508956,126.7548504,122.761463,137.3321168,140.281536,128.0439171,108.6430133,97.56969973,94.7872011,107.0549941,133.0602223,133.9722905,120.6973448,117.0830283,134.7914745,143.9864227,130.5591765,126.9882809,109.9865738,97.56541331,100.6865506,104.2217492,121.9817922,120.7287041,120.1073872,116.0970862,125.4942114,131.4222715,130.6678697,123.2930496,112.0003911,103.0072469,105.0014049,109.3177096,130.1378127,132.3973524,118.0047731,112.9638678,119.7665921,125.291862,135.0333908,123.8792205,110.6687474,103.1917,102.6305818,109.8819282,123.2468538,121.7616249,128.0352714,121.4655639,124.6550708,126.5433868,128.6847468,117.3040632,103.8122696,96.02720885,95.21406953,112.237473,116.3411653,127.4994466,116.3661575,110.1978245,122.2654198,137.088027,121.4025916,114.5778402,104.6253319,97.37199998,104.3536074,109.8755958,122.7300579,124.6258138
Nyamagabe,NA,NA,NA,NA,128.071805,122.7266892,109.5242075,101.4714064,101.832852,112.1069885,116.786192,127.4438224,122.0544699,122.943083,130.179215,136.5390686,138.2934357,133.4701304,120.826049,115.2330005,116.6120202,124.3460727,145.0467148,138.3064736,136.1419637,133.6365766,132.8219124,136.2597168,136.3702469,131.2291013,120.1465145,112.8584103,104.8835812,112.1120169,124.3726833,133.9432335,127.2665844,132.990673,137.1290316,139.4576549,139.6495939,136.1683368,118.497741,111.8099707,118.1289016,121.9477016,133.1913371,129.3990082,132.9837457,131.3877409,127.6067641,134.7936397,138.8174258,127.1756058,113.1073232,108.3337749,112.3407599,121.5172437,128.834793,132.4836094,126.6017021,131.587646,142.4125097,137.2455415,137.1181869,130.1630974,119.8693934,112.7453743,110.3670976,117.5592748,122.7053767,127.5209147,120.7526294,119.7335686,121.6044953,132.2734407,132.6850759,125.7564942,117.4416107,115.604849,111.3548002,115.5369603,125.4810675,126.9626617,123.5483858,132.209146,131.4107255,137.9455927,137.5533647,132.5492855,126.0421454,120.1378608,119.1625032,129.669045,128.2737582,131.2373483,136.6401241,122.8014537,130.4500324,137.2066235,137.1340787,131.5407671,126.0235969,115.3804075,111.4074939,122.7883864,128.8778451,127.3532117,130.7188685,137.4677753,134.8898134,138.2852268,139.0647274,130.7412489,121.5536379,111.5630416,109.8890454,118.123926,124.938787,131.9474158,128.9313048,130.8029596,140.1977627,138.9574641,130.1527879,134.5100183,116.6654269,106.7712565,113.0833865,114.7062865,125.8751123,122.5983494,120.9576426,119.6525755,131.3452642,128.0011886,120.026142,126.1422664,117.9517652,109.8173779,115.9692141,118.1816844,128.3252447,131.0637495,125.4625193,121.0125128,121.6226156,109.3392018,121.8003941,129.6911614,117.6457281,112.9237918,110.5626847,111.1359294,104.3975389,116.960974,132.0458089,128.7980788,125.9011117,118.01712,122.0026195,127.1752988,115.3221429,104.0582899,105.7311403,114.9215043,109.325838,120.4708758,119.0611616,117.8146287,131.7217154,137.309751,117.1247211,122.6311793,117.40781,108.9784361,117.1179184,111.469853,114.9533912,127.9292606
Ruhango,NA,NA,NA,NA,132.4418465,117.9845853,102.5604878,97.98432886,93.23430608,98.78744324,127.341304,139.8841771,122.843567,126.0985031,129.4927406,145.9903124,145.7523092,134.9874364,118.2666435,115.7895941,120.1078741,126.5607777,136.2192617,140.6152658,132.9124014,133.0240546,131.4044521,142.0575569,142.4523144,130.4445797,112.8236139,106.6850901,102.4252201,103.976363,123.2067878,142.2309043,126.9785895,125.2820029,125.4734995,138.6283443,141.8264921,132.4661928,109.2968338,100.7478031,111.1879809,122.0485624,137.8443255,127.0013466,127.48765,126.7493395,124.3423809,141.896683,140.3621125,119.1238821,103.6744265,100.6310343,102.5050105,111.1421219,129.3273133,121.8794035,121.0300617,126.2255464,134.0997032,145.7037109,140.6490086,127.7419807,109.3591941,103.1965147,112.7726319,127.3711906,127.8723049,120.3583313,108.0465242,105.5997184,116.3588034,134.5360149,138.3809877,120.1670306,106.1629254,102.4168596,101.9568815,106.7217542,127.7956724,132.1639496,132.3980376,124.8095063,129.5766051,136.0265417,143.0581154,132.529248,121.8229776,117.6379117,110.8060119,115.5768507,129.6209591,126.0681542,121.2718239,113.4567942,126.4089928,143.7500507,143.4749451,123.5680558,113.9700212,104.2497462,105.1237636,109.8252013,123.412445,127.5263444,123.3622148,132.3510519,128.1111584,144.7807175,141.7342238,127.5409145,111.5918107,99.94089234,96.46041924,111.558185,125.1206194,123.8694842,121.3108728,117.261836,135.4982158,149.0063573,134.7431911,131.1493276,114.0514768,101.3121072,104.8531302,114.1027998,126.0862806,122.6265528,121.7216303,118.5364905,130.0905533,136.6163379,129.293568,124.7846216,115.4502125,109.0845732,109.6821088,115.3936261,131.3634346,134.3466004,121.9431505,107.4997818,115.2335222,126.645537,139.0531618,128.2884181,113.9385497,106.8285542,110.7291019,108.0178695,119.3592797,125.3494229,117.6886036,116.7274975,120.0178102,126.0772277,130.2816573,119.492635,104.9669403,98.47963481,102.0790204,114.581056,115.1252933,120.0835863,113.9613238,110.8373845,122.0068246,141.3005874,128.3861364,119.7785914,110.4851098,105.0989208,115.4977838,115.889171,125.5708164,124.8245938
